rel_time_ms,sensor,value
0.0,Illuminance.Room518a_Ceiling,1153.33
0.0,TSL1_LowerScreen_spec.Room518a_WP1,7962.0
0.0,TSL1_LowerScreen_spec.Room518a_WP2,8474.0
0.0,TSL2_Keyboard_spec.Room518a_WP1,16121.0
0.0,TSL2_Keyboard_spec.Room518a_WP2,5975.0
0.0,TSL3_UpperScreen_spec.Room518a_WP1,11807.0
0.0,TSL3_UpperScreen_spec.Room518a_WP2,6598.0
0.0,TSL4_UpperScreen_spec.Room518a_WP1,11290.0
0.0,TSL4_UpperScreen_spec.Room518a_WP2,10902.0
100.0,Illuminance.Room518a_Ceiling,1153.33
100.0,TSL1_LowerScreen_spec.Room518a_WP1,7962.0
100.0,TSL1_LowerScreen_spec.Room518a_WP2,8474.0
100.0,TSL2_Keyboard_spec.Room518a_WP1,16121.0
100.0,TSL2_Keyboard_spec.Room518a_WP2,5975.0
100.0,TSL3_UpperScreen_spec.Room518a_WP1,11807.0
100.0,TSL3_UpperScreen_spec.Room518a_WP2,6598.0
100.0,TSL4_UpperScreen_spec.Room518a_WP1,11290.0
100.0,TSL4_UpperScreen_spec.Room518a_WP2,10902.0
200.0,Illuminance.Room518a_Ceiling,1153.33
200.0,TSL1_LowerScreen_spec.Room518a_WP1,7962.0
200.0,TSL1_LowerScreen_spec.Room518a_WP2,8474.0
200.0,TSL2_Keyboard_spec.Room518a_WP1,16121.0
200.0,TSL2_Keyboard_spec.Room518a_WP2,5975.0
200.0,TSL3_UpperScreen_spec.Room518a_WP1,11807.0
200.0,TSL3_UpperScreen_spec.Room518a_WP2,6598.0
200.0,TSL4_UpperScreen_spec.Room518a_WP1,11290.0
200.0,TSL4_UpperScreen_spec.Room518a_WP2,10902.0
300.0,Illuminance.Room518a_Ceiling,1153.33
300.0,TSL1_LowerScreen_spec.Room518a_WP1,7962.0
300.0,TSL1_LowerScreen_spec.Room518a_WP2,8474.0
300.0,TSL2_Keyboard_spec.Room518a_WP1,16121.0
300.0,TSL2_Keyboard_spec.Room518a_WP2,5975.0
300.0,TSL3_UpperScreen_spec.Room518a_WP1,11807.0
300.0,TSL3_UpperScreen_spec.Room518a_WP2,6598.0
300.0,TSL4_UpperScreen_spec.Room518a_WP1,11290.0
300.0,TSL4_UpperScreen_spec.Room518a_WP2,10902.0
400.0,Illuminance.Room518a_Ceiling,1153.33
400.0,TSL1_LowerScreen_spec.Room518a_WP1,7962.0
400.0,TSL1_LowerScreen_spec.Room518a_WP2,8474.0
400.0,TSL2_Keyboard_spec.Room518a_WP1,16121.0
400.0,TSL2_Keyboard_spec.Room518a_WP2,5975.0
400.0,TSL3_UpperScreen_spec.Room518a_WP1,11807.0
400.0,TSL3_UpperScreen_spec.Room518a_WP2,6598.0
400.0,TSL4_UpperScreen_spec.Room518a_WP1,11290.0
400.0,TSL4_UpperScreen_spec.Room518a_WP2,10902.0
500.0,Illuminance.Room518a_Ceiling,1153.33
500.0,TSL1_LowerScreen_spec.Room518a_WP1,7962.0
500.0,TSL1_LowerScreen_spec.Room518a_WP2,8474.0
500.0,TSL2_Keyboard_spec.Room518a_WP1,16121.0
500.0,TSL2_Keyboard_spec.Room518a_WP2,5975.0
500.0,TSL3_UpperScreen_spec.Room518a_WP1,11807.0
500.0,TSL3_UpperScreen_spec.Room518a_WP2,6598.0
500.0,TSL4_UpperScreen_spec.Room518a_WP1,11290.0
500.0,TSL4_UpperScreen_spec.Room518a_WP2,10902.0
600.0,Illuminance.Room518a_Ceiling,1153.33
600.0,TSL1_LowerScreen_spec.Room518a_WP1,7962.0
600.0,TSL1_LowerScreen_spec.Room518a_WP2,8474.0
600.0,TSL2_Keyboard_spec.Room518a_WP1,16121.0
600.0,TSL2_Keyboard_spec.Room518a_WP2,5975.0
600.0,TSL3_UpperScreen_spec.Room518a_WP1,11807.0
600.0,TSL3_UpperScreen_spec.Room518a_WP2,6598.0
600.0,TSL4_UpperScreen_spec.Room518a_WP1,11290.0
600.0,TSL4_UpperScreen_spec.Room518a_WP2,10902.0
700.0,Illuminance.Room518a_Ceiling,1153.33
700.0,TSL1_LowerScreen_spec.Room518a_WP1,7962.0
700.0,TSL1_LowerScreen_spec.Room518a_WP2,8474.0
700.0,TSL2_Keyboard_spec.Room518a_WP1,16121.0
700.0,TSL2_Keyboard_spec.Room518a_WP2,5975.0
700.0,TSL3_UpperScreen_spec.Room518a_WP1,11807.0
700.0,TSL3_UpperScreen_spec.Room518a_WP2,6598.0
700.0,TSL4_UpperScreen_spec.Room518a_WP1,11290.0
700.0,TSL4_UpperScreen_spec.Room518a_WP2,10902.0
800.0,Illuminance.Room518a_Ceiling,1153.33
800.0,TSL1_LowerScreen_spec.Room518a_WP1,7962.0
800.0,TSL1_LowerScreen_spec.Room518a_WP2,8474.0
800.0,TSL2_Keyboard_spec.Room518a_WP1,16121.0
800.0,TSL2_Keyboard_spec.Room518a_WP2,5975.0
800.0,TSL3_UpperScreen_spec.Room518a_WP1,11807.0
800.0,TSL3_UpperScreen_spec.Room518a_WP2,6598.0
800.0,TSL4_UpperScreen_spec.Room518a_WP1,11290.0
800.0,TSL4_UpperScreen_spec.Room518a_WP2,10902.0
900.0,Illuminance.Room518a_Ceiling,1153.33
900.0,TSL1_LowerScreen_spec.Room518a_WP1,7962.0
900.0,TSL1_LowerScreen_spec.Room518a_WP2,8474.0
900.0,TSL2_Keyboard_spec.Room518a_WP1,16121.0
900.0,TSL2_Keyboard_spec.Room518a_WP2,5975.0
900.0,TSL3_UpperScreen_spec.Room518a_WP1,11807.0
900.0,TSL3_UpperScreen_spec.Room518a_WP2,6598.0
900.0,TSL4_UpperScreen_spec.Room518a_WP1,11290.0
900.0,TSL4_UpperScreen_spec.Room518a_WP2,10902.0
1000.0,Illuminance.Room518a_Ceiling,1153.33
1000.0,TSL1_LowerScreen_spec.Room518a_WP1,7962.0
1000.0,TSL1_LowerScreen_spec.Room518a_WP2,8474.0
1000.0,TSL2_Keyboard_spec.Room518a_WP1,16121.0
1000.0,TSL2_Keyboard_spec.Room518a_WP2,5975.0
1000.0,TSL3_UpperScreen_spec.Room518a_WP1,11807.0
1000.0,TSL3_UpperScreen_spec.Room518a_WP2,6598.0
1000.0,TSL4_UpperScreen_spec.Room518a_WP1,11290.0
1000.0,TSL4_UpperScreen_spec.Room518a_WP2,10902.0
1100.0,Illuminance.Room518a_Ceiling,1153.33
1100.0,TSL1_LowerScreen_spec.Room518a_WP1,7962.0
1100.0,TSL1_LowerScreen_spec.Room518a_WP2,8474.0
1100.0,TSL2_Keyboard_spec.Room518a_WP1,16121.0
1100.0,TSL2_Keyboard_spec.Room518a_WP2,5975.0
1100.0,TSL3_UpperScreen_spec.Room518a_WP1,11807.0
1100.0,TSL3_UpperScreen_spec.Room518a_WP2,6598.0
1100.0,TSL4_UpperScreen_spec.Room518a_WP1,11290.0
1100.0,TSL4_UpperScreen_spec.Room518a_WP2,10902.0
1200.0,Illuminance.Room518a_Ceiling,1153.33
1200.0,TSL1_LowerScreen_spec.Room518a_WP1,7962.0
1200.0,TSL1_LowerScreen_spec.Room518a_WP2,8474.0
1200.0,TSL2_Keyboard_spec.Room518a_WP1,16121.0
1200.0,TSL2_Keyboard_spec.Room518a_WP2,5975.0
1200.0,TSL3_UpperScreen_spec.Room518a_WP1,11807.0
1200.0,TSL3_UpperScreen_spec.Room518a_WP2,6598.0
1200.0,TSL4_UpperScreen_spec.Room518a_WP1,11290.0
1200.0,TSL4_UpperScreen_spec.Room518a_WP2,10902.0
1300.0,Illuminance.Room518a_Ceiling,1153.33
1300.0,TSL1_LowerScreen_spec.Room518a_WP1,7962.0
1300.0,TSL1_LowerScreen_spec.Room518a_WP2,8474.0
1300.0,TSL2_Keyboard_spec.Room518a_WP1,16121.0
1300.0,TSL2_Keyboard_spec.Room518a_WP2,5975.0
1300.0,TSL3_UpperScreen_spec.Room518a_WP1,11807.0
1300.0,TSL3_UpperScreen_spec.Room518a_WP2,6598.0
1300.0,TSL4_UpperScreen_spec.Room518a_WP1,11290.0
1300.0,TSL4_UpperScreen_spec.Room518a_WP2,10902.0
1400.0,Illuminance.Room518a_Ceiling,1153.33
1400.0,TSL1_LowerScreen_spec.Room518a_WP1,7962.0
1400.0,TSL1_LowerScreen_spec.Room518a_WP2,8474.0
1400.0,TSL2_Keyboard_spec.Room518a_WP1,16121.0
1400.0,TSL2_Keyboard_spec.Room518a_WP2,5975.0
1400.0,TSL3_UpperScreen_spec.Room518a_WP1,11807.0
1400.0,TSL3_UpperScreen_spec.Room518a_WP2,6598.0
1400.0,TSL4_UpperScreen_spec.Room518a_WP1,11290.0
1400.0,TSL4_UpperScreen_spec.Room518a_WP2,10902.0
1500.0,Illuminance.Room518a_Ceiling,1153.33
1500.0,TSL1_LowerScreen_spec.Room518a_WP1,7962.0
1500.0,TSL1_LowerScreen_spec.Room518a_WP2,8474.0
1500.0,TSL2_Keyboard_spec.Room518a_WP1,16121.0
1500.0,TSL2_Keyboard_spec.Room518a_WP2,5975.0
1500.0,TSL3_UpperScreen_spec.Room518a_WP1,11807.0
1500.0,TSL3_UpperScreen_spec.Room518a_WP2,6598.0
1500.0,TSL4_UpperScreen_spec.Room518a_WP1,11290.0
1500.0,TSL4_UpperScreen_spec.Room518a_WP2,10902.0
1600.0,Illuminance.Room518a_Ceiling,1153.33
1600.0,TSL1_LowerScreen_spec.Room518a_WP1,7962.0
1600.0,TSL1_LowerScreen_spec.Room518a_WP2,8474.0
1600.0,TSL2_Keyboard_spec.Room518a_WP1,16121.0
1600.0,TSL2_Keyboard_spec.Room518a_WP2,5975.0
1600.0,TSL3_UpperScreen_spec.Room518a_WP1,11807.0
1600.0,TSL3_UpperScreen_spec.Room518a_WP2,6598.0
1600.0,TSL4_UpperScreen_spec.Room518a_WP1,11290.0
1600.0,TSL4_UpperScreen_spec.Room518a_WP2,10902.0
1700.0,Illuminance.Room518a_Ceiling,1153.33
1700.0,TSL1_LowerScreen_spec.Room518a_WP1,7962.0
1700.0,TSL1_LowerScreen_spec.Room518a_WP2,8474.0
1700.0,TSL2_Keyboard_spec.Room518a_WP1,16121.0
1700.0,TSL2_Keyboard_spec.Room518a_WP2,5975.0
1700.0,TSL3_UpperScreen_spec.Room518a_WP1,11807.0
1700.0,TSL3_UpperScreen_spec.Room518a_WP2,6598.0
1700.0,TSL4_UpperScreen_spec.Room518a_WP1,11290.0
1700.0,TSL4_UpperScreen_spec.Room518a_WP2,10902.0
1800.0,Illuminance.Room518a_Ceiling,1153.33
1800.0,TSL1_LowerScreen_spec.Room518a_WP1,7962.0
1800.0,TSL1_LowerScreen_spec.Room518a_WP2,8474.0
1800.0,TSL2_Keyboard_spec.Room518a_WP1,16121.0
1800.0,TSL2_Keyboard_spec.Room518a_WP2,5975.0
1800.0,TSL3_UpperScreen_spec.Room518a_WP1,11807.0
1800.0,TSL3_UpperScreen_spec.Room518a_WP2,6598.0
1800.0,TSL4_UpperScreen_spec.Room518a_WP1,11290.0
1800.0,TSL4_UpperScreen_spec.Room518a_WP2,10902.0
1900.0,Illuminance.Room518a_Ceiling,1153.33
1900.0,TSL1_LowerScreen_spec.Room518a_WP1,7962.0
1900.0,TSL1_LowerScreen_spec.Room518a_WP2,8474.0
1900.0,TSL2_Keyboard_spec.Room518a_WP1,16121.0
1900.0,TSL2_Keyboard_spec.Room518a_WP2,5975.0
1900.0,TSL3_UpperScreen_spec.Room518a_WP1,11807.0
1900.0,TSL3_UpperScreen_spec.Room518a_WP2,6598.0
1900.0,TSL4_UpperScreen_spec.Room518a_WP1,11290.0
1900.0,TSL4_UpperScreen_spec.Room518a_WP2,10902.0
2000.0,Illuminance.Room518a_Ceiling,1153.33
2000.0,TSL1_LowerScreen_spec.Room518a_WP1,7962.0
2000.0,TSL1_LowerScreen_spec.Room518a_WP2,8474.0
2000.0,TSL2_Keyboard_spec.Room518a_WP1,16121.0
2000.0,TSL2_Keyboard_spec.Room518a_WP2,5975.0
2000.0,TSL3_UpperScreen_spec.Room518a_WP1,11807.0
2000.0,TSL3_UpperScreen_spec.Room518a_WP2,6598.0
2000.0,TSL4_UpperScreen_spec.Room518a_WP1,11290.0
2000.0,TSL4_UpperScreen_spec.Room518a_WP2,10902.0
2100.0,Illuminance.Room518a_Ceiling,1153.33
2100.0,TSL1_LowerScreen_spec.Room518a_WP1,7962.0
2100.0,TSL1_LowerScreen_spec.Room518a_WP2,8474.0
2100.0,TSL2_Keyboard_spec.Room518a_WP1,16121.0
2100.0,TSL2_Keyboard_spec.Room518a_WP2,5975.0
2100.0,TSL3_UpperScreen_spec.Room518a_WP1,11807.0
2100.0,TSL3_UpperScreen_spec.Room518a_WP2,6598.0
2100.0,TSL4_UpperScreen_spec.Room518a_WP1,11290.0
2100.0,TSL4_UpperScreen_spec.Room518a_WP2,10902.0
2200.0,Illuminance.Room518a_Ceiling,1153.33
2200.0,TSL1_LowerScreen_spec.Room518a_WP1,7962.0
2200.0,TSL1_LowerScreen_spec.Room518a_WP2,8474.0
2200.0,TSL2_Keyboard_spec.Room518a_WP1,16121.0
2200.0,TSL2_Keyboard_spec.Room518a_WP2,5975.0
2200.0,TSL3_UpperScreen_spec.Room518a_WP1,11807.0
2200.0,TSL3_UpperScreen_spec.Room518a_WP2,6598.0
2200.0,TSL4_UpperScreen_spec.Room518a_WP1,11290.0
2200.0,TSL4_UpperScreen_spec.Room518a_WP2,10902.0
2300.0,Illuminance.Room518a_Ceiling,1153.33
2300.0,TSL1_LowerScreen_spec.Room518a_WP1,7962.0
2300.0,TSL1_LowerScreen_spec.Room518a_WP2,8474.0
2300.0,TSL2_Keyboard_spec.Room518a_WP1,16121.0
2300.0,TSL2_Keyboard_spec.Room518a_WP2,5975.0
2300.0,TSL3_UpperScreen_spec.Room518a_WP1,11807.0
2300.0,TSL3_UpperScreen_spec.Room518a_WP2,6598.0
2300.0,TSL4_UpperScreen_spec.Room518a_WP1,11290.0
2300.0,TSL4_UpperScreen_spec.Room518a_WP2,10902.0
2400.0,Illuminance.Room518a_Ceiling,1153.33
2400.0,TSL1_LowerScreen_spec.Room518a_WP1,7962.0
2400.0,TSL1_LowerScreen_spec.Room518a_WP2,8474.0
2400.0,TSL2_Keyboard_spec.Room518a_WP1,16121.0
2400.0,TSL2_Keyboard_spec.Room518a_WP2,5975.0
2400.0,TSL3_UpperScreen_spec.Room518a_WP1,11807.0
2400.0,TSL3_UpperScreen_spec.Room518a_WP2,6598.0
2400.0,TSL4_UpperScreen_spec.Room518a_WP1,11290.0
2400.0,TSL4_UpperScreen_spec.Room518a_WP2,10902.0
2500.0,Illuminance.Room518a_Ceiling,1153.33
2500.0,TSL1_LowerScreen_spec.Room518a_WP1,7962.0
2500.0,TSL1_LowerScreen_spec.Room518a_WP2,8474.0
2500.0,TSL2_Keyboard_spec.Room518a_WP1,16121.0
2500.0,TSL2_Keyboard_spec.Room518a_WP2,5975.0
2500.0,TSL3_UpperScreen_spec.Room518a_WP1,11807.0
2500.0,TSL3_UpperScreen_spec.Room518a_WP2,6598.0
2500.0,TSL4_UpperScreen_spec.Room518a_WP1,11290.0
2500.0,TSL4_UpperScreen_spec.Room518a_WP2,10902.0
2600.0,Illuminance.Room518a_Ceiling,1153.33
2600.0,TSL1_LowerScreen_spec.Room518a_WP1,7962.0
2600.0,TSL1_LowerScreen_spec.Room518a_WP2,8474.0
2600.0,TSL2_Keyboard_spec.Room518a_WP1,16121.0
2600.0,TSL2_Keyboard_spec.Room518a_WP2,5975.0
2600.0,TSL3_UpperScreen_spec.Room518a_WP1,11807.0
2600.0,TSL3_UpperScreen_spec.Room518a_WP2,6598.0
2600.0,TSL4_UpperScreen_spec.Room518a_WP1,11290.0
2600.0,TSL4_UpperScreen_spec.Room518a_WP2,10902.0
2700.0,Illuminance.Room518a_Ceiling,1153.33
2700.0,TSL1_LowerScreen_spec.Room518a_WP1,7962.0
2700.0,TSL1_LowerScreen_spec.Room518a_WP2,8474.0
2700.0,TSL2_Keyboard_spec.Room518a_WP1,16121.0
2700.0,TSL2_Keyboard_spec.Room518a_WP2,5975.0
2700.0,TSL3_UpperScreen_spec.Room518a_WP1,11807.0
2700.0,TSL3_UpperScreen_spec.Room518a_WP2,6598.0
2700.0,TSL4_UpperScreen_spec.Room518a_WP1,11290.0
2700.0,TSL4_UpperScreen_spec.Room518a_WP2,10902.0
2800.0,Illuminance.Room518a_Ceiling,1153.33
2800.0,TSL1_LowerScreen_spec.Room518a_WP1,7962.0
2800.0,TSL1_LowerScreen_spec.Room518a_WP2,8474.0
2800.0,TSL2_Keyboard_spec.Room518a_WP1,16121.0
2800.0,TSL2_Keyboard_spec.Room518a_WP2,5975.0
2800.0,TSL3_UpperScreen_spec.Room518a_WP1,11807.0
2800.0,TSL3_UpperScreen_spec.Room518a_WP2,6598.0
2800.0,TSL4_UpperScreen_spec.Room518a_WP1,11290.0
2800.0,TSL4_UpperScreen_spec.Room518a_WP2,10902.0
2900.0,Illuminance.Room518a_Ceiling,1153.33
2900.0,TSL1_LowerScreen_spec.Room518a_WP1,7962.0
2900.0,TSL1_LowerScreen_spec.Room518a_WP2,8474.0
2900.0,TSL2_Keyboard_spec.Room518a_WP1,16121.0
2900.0,TSL2_Keyboard_spec.Room518a_WP2,5975.0
2900.0,TSL3_UpperScreen_spec.Room518a_WP1,11807.0
2900.0,TSL3_UpperScreen_spec.Room518a_WP2,6598.0
2900.0,TSL4_UpperScreen_spec.Room518a_WP1,11290.0
2900.0,TSL4_UpperScreen_spec.Room518a_WP2,10902.0
3000.0,Illuminance.Room518a_Ceiling,1153.33
3000.0,TSL1_LowerScreen_spec.Room518a_WP1,7962.0
3000.0,TSL1_LowerScreen_spec.Room518a_WP2,8474.0
3000.0,TSL2_Keyboard_spec.Room518a_WP1,16121.0
3000.0,TSL2_Keyboard_spec.Room518a_WP2,5975.0
3000.0,TSL3_UpperScreen_spec.Room518a_WP1,11807.0
3000.0,TSL3_UpperScreen_spec.Room518a_WP2,6598.0
3000.0,TSL4_UpperScreen_spec.Room518a_WP1,11290.0
3000.0,TSL4_UpperScreen_spec.Room518a_WP2,10902.0
3100.0,Illuminance.Room518a_Ceiling,1153.33
3100.0,TSL1_LowerScreen_spec.Room518a_WP1,7962.0
3100.0,TSL1_LowerScreen_spec.Room518a_WP2,8474.0
3100.0,TSL2_Keyboard_spec.Room518a_WP1,16121.0
3100.0,TSL2_Keyboard_spec.Room518a_WP2,5975.0
3100.0,TSL3_UpperScreen_spec.Room518a_WP1,11807.0
3100.0,TSL3_UpperScreen_spec.Room518a_WP2,6598.0
3100.0,TSL4_UpperScreen_spec.Room518a_WP1,11290.0
3100.0,TSL4_UpperScreen_spec.Room518a_WP2,10902.0
3200.0,Illuminance.Room518a_Ceiling,1153.33
3200.0,TSL1_LowerScreen_spec.Room518a_WP1,7962.0
3200.0,TSL1_LowerScreen_spec.Room518a_WP2,8474.0
3200.0,TSL2_Keyboard_spec.Room518a_WP1,16121.0
3200.0,TSL2_Keyboard_spec.Room518a_WP2,5975.0
3200.0,TSL3_UpperScreen_spec.Room518a_WP1,11807.0
3200.0,TSL3_UpperScreen_spec.Room518a_WP2,6598.0
3200.0,TSL4_UpperScreen_spec.Room518a_WP1,11290.0
3200.0,TSL4_UpperScreen_spec.Room518a_WP2,10902.0
3300.0,Illuminance.Room518a_Ceiling,1153.33
3300.0,TSL1_LowerScreen_spec.Room518a_WP1,7962.0
3300.0,TSL1_LowerScreen_spec.Room518a_WP2,8474.0
3300.0,TSL2_Keyboard_spec.Room518a_WP1,16121.0
3300.0,TSL2_Keyboard_spec.Room518a_WP2,5975.0
3300.0,TSL3_UpperScreen_spec.Room518a_WP1,11807.0
3300.0,TSL3_UpperScreen_spec.Room518a_WP2,6598.0
3300.0,TSL4_UpperScreen_spec.Room518a_WP1,11290.0
3300.0,TSL4_UpperScreen_spec.Room518a_WP2,10902.0
3400.0,Illuminance.Room518a_Ceiling,1153.33
3400.0,TSL1_LowerScreen_spec.Room518a_WP1,7962.0
3400.0,TSL1_LowerScreen_spec.Room518a_WP2,8474.0
3400.0,TSL2_Keyboard_spec.Room518a_WP1,16121.0
3400.0,TSL2_Keyboard_spec.Room518a_WP2,5975.0
3400.0,TSL3_UpperScreen_spec.Room518a_WP1,11807.0
3400.0,TSL3_UpperScreen_spec.Room518a_WP2,6598.0
3400.0,TSL4_UpperScreen_spec.Room518a_WP1,11290.0
3400.0,TSL4_UpperScreen_spec.Room518a_WP2,10902.0
3500.0,Illuminance.Room518a_Ceiling,1153.33
3500.0,TSL1_LowerScreen_spec.Room518a_WP1,7962.0
3500.0,TSL1_LowerScreen_spec.Room518a_WP2,8474.0
3500.0,TSL2_Keyboard_spec.Room518a_WP1,16121.0
3500.0,TSL2_Keyboard_spec.Room518a_WP2,5975.0
3500.0,TSL3_UpperScreen_spec.Room518a_WP1,11807.0
3500.0,TSL3_UpperScreen_spec.Room518a_WP2,6598.0
3500.0,TSL4_UpperScreen_spec.Room518a_WP1,11290.0
3500.0,TSL4_UpperScreen_spec.Room518a_WP2,10902.0
3600.0,Illuminance.Room518a_Ceiling,1153.33
3600.0,TSL1_LowerScreen_spec.Room518a_WP1,7962.0
3600.0,TSL1_LowerScreen_spec.Room518a_WP2,8474.0
3600.0,TSL2_Keyboard_spec.Room518a_WP1,16121.0
3600.0,TSL2_Keyboard_spec.Room518a_WP2,5975.0
3600.0,TSL3_UpperScreen_spec.Room518a_WP1,11807.0
3600.0,TSL3_UpperScreen_spec.Room518a_WP2,6598.0
3600.0,TSL4_UpperScreen_spec.Room518a_WP1,11290.0
3600.0,TSL4_UpperScreen_spec.Room518a_WP2,10902.0
3700.0,Illuminance.Room518a_Ceiling,1153.33
3700.0,TSL1_LowerScreen_spec.Room518a_WP1,7962.0
3700.0,TSL1_LowerScreen_spec.Room518a_WP2,8474.0
