rel_time_ms,sensor,value
0.03,Illuminance.Room518a_Ceiling,184.17
0.03,TSL1_LowerScreen_spec.Room518a_WP1,668.0
0.03,TSL1_LowerScreen_spec.Room518a_WP2,853.0
0.03,TSL2_Keyboard_spec.Room518a_WP1,1421.0
0.03,TSL2_Keyboard_spec.Room518a_WP2,775.0
0.03,TSL3_UpperScreen_spec.Room518a_WP1,1569.0
0.03,TSL3_UpperScreen_spec.Room518a_WP2,681.0
0.03,TSL4_UpperScreen_spec.Room518a_WP1,1388.0
0.03,TSL4_UpperScreen_spec.Room518a_WP2,1248.0
101.14,Illuminance.Room518a_Ceiling,184.17
101.14,TSL1_LowerScreen_spec.Room518a_WP1,668.0
101.14,TSL1_LowerScreen_spec.Room518a_WP2,853.0
101.14,TSL2_Keyboard_spec.Room518a_WP1,1421.0
101.14,TSL2_Keyboard_spec.Room518a_WP2,775.0
101.14,TSL3_UpperScreen_spec.Room518a_WP1,1569.0
101.14,TSL3_UpperScreen_spec.Room518a_WP2,681.0
101.14,TSL4_UpperScreen_spec.Room518a_WP1,1388.0
101.14,TSL4_UpperScreen_spec.Room518a_WP2,1248.0
202.12,Illuminance.Room518a_Ceiling,184.17
202.12,TSL1_LowerScreen_spec.Room518a_WP1,685.0
202.12,TSL1_LowerScreen_spec.Room518a_WP2,853.0
202.12,TSL2_Keyboard_spec.Room518a_WP1,1421.0
202.12,TSL2_Keyboard_spec.Room518a_WP2,775.0
202.12,TSL3_UpperScreen_spec.Room518a_WP1,1569.0
202.12,TSL3_UpperScreen_spec.Room518a_WP2,681.0
202.12,TSL4_UpperScreen_spec.Room518a_WP1,1388.0
202.12,TSL4_UpperScreen_spec.Room518a_WP2,1248.0
303.28,Illuminance.Room518a_Ceiling,184.17
303.28,TSL1_LowerScreen_spec.Room518a_WP1,685.0
303.28,TSL1_LowerScreen_spec.Room518a_WP2,873.0
303.28,TSL2_Keyboard_spec.Room518a_WP1,1421.0
303.28,TSL2_Keyboard_spec.Room518a_WP2,775.0
303.28,TSL3_UpperScreen_spec.Room518a_WP1,1569.0
303.28,TSL3_UpperScreen_spec.Room518a_WP2,681.0
303.28,TSL4_UpperScreen_spec.Room518a_WP1,1388.0
303.28,TSL4_UpperScreen_spec.Room518a_WP2,1248.0
404.26,Illuminance.Room518a_Ceiling,184.17
404.26,TSL1_LowerScreen_spec.Room518a_WP1,685.0
404.26,TSL1_LowerScreen_spec.Room518a_WP2,873.0
404.26,TSL2_Keyboard_spec.Room518a_WP1,1421.0
404.26,TSL2_Keyboard_spec.Room518a_WP2,775.0
404.26,TSL3_UpperScreen_spec.Room518a_WP1,1569.0
404.26,TSL3_UpperScreen_spec.Room518a_WP2,681.0
404.26,TSL4_UpperScreen_spec.Room518a_WP1,1388.0
404.26,TSL4_UpperScreen_spec.Room518a_WP2,1248.0
505.44,Illuminance.Room518a_Ceiling,184.17
505.44,TSL1_LowerScreen_spec.Room518a_WP1,685.0
505.44,TSL1_LowerScreen_spec.Room518a_WP2,873.0
505.44,TSL2_Keyboard_spec.Room518a_WP1,1421.0
505.44,TSL2_Keyboard_spec.Room518a_WP2,775.0
505.44,TSL3_UpperScreen_spec.Room518a_WP1,1569.0
