rel_time_ms,sensor,value
0.04,sensor.arbeitsplatz_helligkeit,481.0
101.29,sensor.arbeitsplatz_helligkeit,481.0
202.5,sensor.arbeitsplatz_helligkeit,481.0
302.81,sensor.arbeitsplatz_helligkeit,744.0
403.25,sensor.arbeitsplatz_helligkeit,744.0
504.36,sensor.arbeitsplatz_helligkeit,744.0
605.46,sensor.arbeitsplatz_helligkeit,744.0
706.55,sensor.arbeitsplatz_helligkeit,744.0
807.75,sensor.arbeitsplatz_helligkeit,744.0
908.09,sensor.arbeitsplatz_helligkeit,744.0
1009.21,sensor.arbeitsplatz_helligkeit,744.0
1110.34,sensor.arbeitsplatz_helligkeit,744.0
1214.75,sensor.arbeitsplatz_helligkeit,744.0
1315.03,sensor.arbeitsplatz_helligkeit,744.0
1415.21,sensor.arbeitsplatz_helligkeit,744.0
1516.3,sensor.arbeitsplatz_helligkeit,744.0
1617.43,sensor.arbeitsplatz_helligkeit,744.0
1718.04,sensor.arbeitsplatz_helligkeit,744.0
1819.12,sensor.arbeitsplatz_helligkeit,744.0
1920.32,sensor.arbeitsplatz_helligkeit,744.0
2021.52,sensor.arbeitsplatz_helligkeit,744.0
2122.72,sensor.arbeitsplatz_helligkeit,744.0
2223.94,sensor.arbeitsplatz_helligkeit,744.0
2324.4,sensor.arbeitsplatz_helligkeit,753.0
2425.59,sensor.arbeitsplatz_helligkeit,753.0
2526.78,sensor.arbeitsplatz_helligkeit,753.0
2627.67,sensor.arbeitsplatz_helligkeit,753.0
2728.77,sensor.arbeitsplatz_helligkeit,753.0
2829.95,sensor.arbeitsplatz_helligkeit,753.0
2931.14,sensor.arbeitsplatz_helligkeit,753.0
3032.32,sensor.arbeitsplatz_helligkeit,753.0
3133.55,sensor.arbeitsplatz_helligkeit,753.0
3234.22,sensor.arbeitsplatz_helligkeit,753.0
3335.34,sensor.arbeitsplatz_helligkeit,753.0
3436.53,sensor.arbeitsplatz_helligkeit,753.0
3537.19,sensor.arbeitsplatz_helligkeit,753.0
3638.37,sensor.arbeitsplatz_helligkeit,753.0
3739.62,sensor.arbeitsplatz_helligkeit,753.0
3840.82,sensor.arbeitsplatz_helligkeit,753.0
3942.03,sensor.arbeitsplatz_helligkeit,753.0
