rel_time_ms,sensor,value
100.0,TSL1_LowerScreen_spec.Room518a_WP1,6600.0
100.0,TSL1_LowerScreen_spec.Room518a_WP2,6966.0
100.0,TSL2_Keyboard_spec.Room518a_WP1,13005.0
100.0,TSL2_Keyboard_spec.Room518a_WP2,5372.0
100.0,TSL3_UpperScreen_spec.Room518a_WP1,9491.0
100.0,TSL3_UpperScreen_spec.Room518a_WP2,5835.0
100.0,TSL4_UpperScreen_spec.Room518a_WP1,9353.0
100.0,TSL4_UpperScreen_spec.Room518a_WP2,8985.0
200.0,TSL1_LowerScreen_spec.Room518a_WP1,6600.0
200.0,TSL1_LowerScreen_spec.Room518a_WP2,6966.0
200.0,TSL2_Keyboard_spec.Room518a_WP1,13005.0
200.0,TSL2_Keyboard_spec.Room518a_WP2,5372.0
200.0,TSL3_UpperScreen_spec.Room518a_WP1,9491.0
200.0,TSL3_UpperScreen_spec.Room518a_WP2,5835.0
200.0,TSL4_UpperScreen_spec.Room518a_WP1,9353.0
200.0,TSL4_UpperScreen_spec.Room518a_WP2,8985.0
300.0,TSL1_LowerScreen_spec.Room518a_WP1,6600.0
300.0,TSL1_LowerScreen_spec.Room518a_WP2,6966.0
300.0,TSL2_Keyboard_spec.Room518a_WP1,13005.0
300.0,TSL2_Keyboard_spec.Room518a_WP2,5372.0
300.0,TSL3_UpperScreen_spec.Room518a_WP1,9491.0
300.0,TSL3_UpperScreen_spec.Room518a_WP2,5835.0
300.0,TSL4_UpperScreen_spec.Room518a_WP1,9353.0
300.0,TSL4_UpperScreen_spec.Room518a_WP2,8985.0
400.0,TSL1_LowerScreen_spec.Room518a_WP1,6600.0
400.0,TSL1_LowerScreen_spec.Room518a_WP2,6966.0
400.0,TSL2_Keyboard_spec.Room518a_WP1,13005.0
400.0,TSL2_Keyboard_spec.Room518a_WP2,5372.0
400.0,TSL3_UpperScreen_spec.Room518a_WP1,9491.0
400.0,TSL3_UpperScreen_spec.Room518a_WP2,5835.0
400.0,TSL4_UpperScreen_spec.Room518a_WP1,9353.0
400.0,TSL4_UpperScreen_spec.Room518a_WP2,8985.0
500.0,TSL1_LowerScreen_spec.Room518a_WP1,6600.0
500.0,TSL1_LowerScreen_spec.Room518a_WP2,6966.0
500.0,TSL2_Keyboard_spec.Room518a_WP1,13005.0
500.0,TSL2_Keyboard_spec.Room518a_WP2,5372.0
500.0,TSL3_UpperScreen_spec.Room518a_WP1,9491.0
500.0,TSL3_UpperScreen_spec.Room518a_WP2,5835.0
500.0,TSL4_UpperScreen_spec.Room518a_WP1,9353.0
500.0,TSL4_UpperScreen_spec.Room518a_WP2,8985.0
600.0,TSL1_LowerScreen_spec.Room518a_WP1,6600.0
600.0,TSL1_LowerScreen_spec.Room518a_WP2,6966.0
600.0,TSL2_Keyboard_spec.Room518a_WP1,13005.0
600.0,TSL2_Keyboard_spec.Room518a_WP2,5372.0
600.0,TSL3_UpperScreen_spec.Room518a_WP1,9491.0
600.0,TSL3_UpperScreen_spec.Room518a_WP2,5835.0
600.0,TSL4_UpperScreen_spec.Room518a_WP1,9353.0
600.0,TSL4_UpperScreen_spec.Room518a_WP2,8985.0
700.0,TSL1_LowerScreen_spec.Room518a_WP1,6600.0
700.0,TSL1_LowerScreen_spec.Room518a_WP2,6966.0
700.0,TSL2_Keyboard_spec.Room518a_WP1,13005.0
700.0,TSL2_Keyboard_spec.Room518a_WP2,5372.0
700.0,TSL3_UpperScreen_spec.Room518a_WP1,9491.0
700.0,TSL3_UpperScreen_spec.Room518a_WP2,5835.0
700.0,TSL4_UpperScreen_spec.Room518a_WP1,9353.0
700.0,TSL4_UpperScreen_spec.Room518a_WP2,8985.0
800.0,TSL1_LowerScreen_spec.Room518a_WP1,6600.0
800.0,TSL1_LowerScreen_spec.Room518a_WP2,6966.0
800.0,TSL2_Keyboard_spec.Room518a_WP1,13005.0
800.0,TSL2_Keyboard_spec.Room518a_WP2,5372.0
800.0,TSL3_UpperScreen_spec.Room518a_WP1,9491.0
800.0,TSL3_UpperScreen_spec.Room518a_WP2,5835.0
800.0,TSL4_UpperScreen_spec.Room518a_WP1,9353.0
800.0,TSL4_UpperScreen_spec.Room518a_WP2,8985.0
900.0,TSL1_LowerScreen_spec.Room518a_WP1,6600.0
900.0,TSL1_LowerScreen_spec.Room518a_WP2,6966.0
900.0,TSL2_Keyboard_spec.Room518a_WP1,13005.0
900.0,TSL2_Keyboard_spec.Room518a_WP2,5372.0
900.0,TSL3_UpperScreen_spec.Room518a_WP1,9491.0
900.0,TSL3_UpperScreen_spec.Room518a_WP2,5835.0
900.0,TSL4_UpperScreen_spec.Room518a_WP1,9353.0
900.0,TSL4_UpperScreen_spec.Room518a_WP2,8985.0
1000.0,TSL1_LowerScreen_spec.Room518a_WP1,6600.0
1000.0,TSL1_LowerScreen_spec.Room518a_WP2,6966.0
1000.0,TSL2_Keyboard_spec.Room518a_WP1,13005.0
1000.0,TSL2_Keyboard_spec.Room518a_WP2,5372.0
1000.0,TSL3_UpperScreen_spec.Room518a_WP1,9491.0
1000.0,TSL3_UpperScreen_spec.Room518a_WP2,5835.0
1000.0,TSL4_UpperScreen_spec.Room518a_WP1,9353.0
1000.0,TSL4_UpperScreen_spec.Room518a_WP2,8985.0
1100.0,TSL1_LowerScreen_spec.Room518a_WP1,6600.0
1100.0,TSL1_LowerScreen_spec.Room518a_WP2,6966.0
1100.0,TSL2_Keyboard_spec.Room518a_WP1,13005.0
1100.0,TSL2_Keyboard_spec.Room518a_WP2,5372.0
1100.0,TSL3_UpperScreen_spec.Room518a_WP1,9491.0
1100.0,TSL3_UpperScreen_spec.Room518a_WP2,5835.0
1100.0,TSL4_UpperScreen_spec.Room518a_WP1,9353.0
1100.0,TSL4_UpperScreen_spec.Room518a_WP2,8985.0
1200.0,TSL1_LowerScreen_spec.Room518a_WP1,6600.0
1200.0,TSL1_LowerScreen_spec.Room518a_WP2,6966.0
1200.0,TSL2_Keyboard_spec.Room518a_WP1,13005.0
1200.0,TSL2_Keyboard_spec.Room518a_WP2,5372.0
1200.0,TSL3_UpperScreen_spec.Room518a_WP1,9491.0
1200.0,TSL3_UpperScreen_spec.Room518a_WP2,5835.0
1200.0,TSL4_UpperScreen_spec.Room518a_WP1,9353.0
1200.0,TSL4_UpperScreen_spec.Room518a_WP2,8985.0
1300.0,TSL1_LowerScreen_spec.Room518a_WP1,6600.0
1300.0,TSL1_LowerScreen_spec.Room518a_WP2,6966.0
1300.0,TSL2_Keyboard_spec.Room518a_WP1,13005.0
1300.0,TSL2_Keyboard_spec.Room518a_WP2,5372.0
1300.0,TSL3_UpperScreen_spec.Room518a_WP1,9491.0
1300.0,TSL3_UpperScreen_spec.Room518a_WP2,5835.0
1300.0,TSL4_UpperScreen_spec.Room518a_WP1,9353.0
1300.0,TSL4_UpperScreen_spec.Room518a_WP2,8985.0
1400.0,TSL1_LowerScreen_spec.Room518a_WP1,6600.0
1400.0,TSL1_LowerScreen_spec.Room518a_WP2,6966.0
1400.0,TSL2_Keyboard_spec.Room518a_WP1,13005.0
1400.0,TSL2_Keyboard_spec.Room518a_WP2,5372.0
1400.0,TSL3_UpperScreen_spec.Room518a_WP1,9491.0
1400.0,TSL3_UpperScreen_spec.Room518a_WP2,5835.0
1400.0,TSL4_UpperScreen_spec.Room518a_WP1,9353.0
1400.0,TSL4_UpperScreen_spec.Room518a_WP2,8985.0
1500.0,TSL1_LowerScreen_spec.Room518a_WP1,6600.0
1500.0,TSL1_LowerScreen_spec.Room518a_WP2,6966.0
1500.0,TSL2_Keyboard_spec.Room518a_WP1,13005.0
1500.0,TSL2_Keyboard_spec.Room518a_WP2,5372.0
1500.0,TSL3_UpperScreen_spec.Room518a_WP1,9491.0
1500.0,TSL3_UpperScreen_spec.Room518a_WP2,5835.0
